trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
197,False,"{'a': 0.75, 'e': 5.274719301551376e-05}",20,12,16.221904283083838,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.75, 'e': 5.017468205617528e-05}",25,17,12.499218353382819,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.75, 'e': 4.772763393680188e-05}",25,12,25.260300505954383,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.75, 'e': 4.5399929762484854e-05}",25,14,25.038988242390793,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.75, 'e': 4.3185749060341275e-05}",25,18,14.320524220025483,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.75, 'e': 4.107955522530065e-05}",25,15,18.116202596417622,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.75, 'e': 3.907608167570808e-05}",20,14,12.030378573929388,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.75, 'e': 3.7170318684126666e-05}",20,11,18.025872198534287,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.75, 'e': 3.535750085040998e-05}",25,11,26.319614587664503,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.75, 'e': 3.363309518571897e-05}",30,6,45.87461401317815,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.75, 'e': 3.1992789777689165e-05}",20,14,10.235163375852213,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.75, 'e': 3.0432483008403625e-05}",20,9,19.263123985991985,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.75, 'e': 2.8948273298211517e-05}",20,3,31.279891639285715,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.75, 'e': 2.7536449349747158e-05}",20,12,10.943005830529694,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.75, 'e': 2.619348086775303e-05}",30,16,23.12845661876248,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.75, 'e': 2.491600973150316e-05}",20,14,10.201161969546636,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.75, 'e': 2.3700841597751968e-05}",25,20,10.672274443386428,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.75, 'e': 2.254493791321217e-05}",20,10,19.788734665168278,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.75, 'e': 2.1445408316589164e-05}",20,16,7.5638870745145175,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.75, 'e': 2.0399503411171922e-05}",30,17,25.53325275486422,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.75, 'e': 1.9404607889909406e-05}",25,12,24.50161750974416,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.75, 'e': 1.8458233995780558e-05}",30,15,29.914795872893247,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.75, 'e': 1.755801530110584e-05}",30,18,24.026374489005484,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.75, 'e': 1.670170079024566e-05}",20,13,15.219648591755682,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.75, 'e': 1.588714923088849e-05}",25,18,12.38545856966705,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.75, 'e': 1.5112323819855006e-05}",25,15,15.30533132827921,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.75, 'e': 1.4375287090029125e-05}",30,9,39.04593721299508,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.75, 'e': 1.3674196065680938e-05}",25,15,19.47327979833311,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.75, 'e': 1.300729765406762e-05}",20,4,26.247393538316782,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
